X,Y,Z_prev,variance_ratio,Variance_sq,is_improving,direction,dVariance_abs,target_step
-13000,-13000,300,1.022120898,2671.898044,1,1,1.118691727,382.187616
-13000,-13000,6682,1,722.0790833,0,1,0,-5999.812384
-13000,-13000,6882,0.998814978,720.3687388,0,1,0.031843342,-6199.812384
-13000,-13000,100,1,2400.068601,0,1,0,582.187616
-13000,-13000,300,0.964790653,2234.034264,0,1,1.724923349,382.187616
-13000,-13000,8682,1,675.4018797,0,1,0,-7999.812384
-13000,-13000,8882,1.006237581,683.8539056,1,1,0.162105343,-8199.812384
-13000,-4333,920,1,4109.75172,0,1,0,0
-13000,-4333,1120,0.806914362,2675.903682,0,1,12.37820764,-200
-13000,-4333,925,1,3365.221688,0,1,0,-5
-13000,-4333,1125,0.88105386,2612.273207,0,1,6.900128693,-205
-13000,-4333,915,1,3406.901136,0,1,0,5
-13000,-4333,1115,0.884818883,2667.27808,0,1,6.722968115,-195
-13000,-4333,930,1,3208.823897,0,1,0,-10
-13000,-4333,1130,0.889119754,2536.684186,0,1,6.280975854,-210
-13000,-4333,910,1,3280.802635,0,1,0,10
-13000,-4333,1110,0.92327178,2796.657151,0,1,4.394861304,-190
-13000,-4333,935,1,3318.255358,0,1,0,-15
-13000,-4333,1135,0.882751483,2585.751089,0,1,6.75401871,-215
-13000,-4333,905,1,3516.945992,0,1,0,15
-13000,-4333,1105,0.884017882,2748.449737,0,1,6.878185513,-185
-13000,-4333,940,1,3232.035084,0,1,0,-20
-13000,-4333,1140,0.881501097,2511.434067,0,1,6.736779941,-220
-13000,-4333,900,1,3379.821242,0,1,0,20
-13000,-4333,1100,0.901207525,2745.006328,0,1,5.743422052,-180
-13000,-4333,945,1,3101.054738,0,1,0,-25
-13000,-4333,1145,0.888891396,2450.22991,0,1,6.187317579,-225
-13000,-4333,895,1,3417.372463,0,1,0,25
-13000,-4333,1095,0.89728311,2751.384598,0,1,6.004654419,-175
-13000,-4333,950,1,3067.252558,0,1,0,-30
-13000,-4333,1150,0.871734323,2330.868801,0,1,7.103710063,-230
-13000,-4333,890,1,3255.28431,0,1,0,30
-13000,-4333,1090,0.865503499,2438.521454,0,1,7.673711172,-170
-13000,-4333,955,1,2970.096731,0,1,0,-35
-13000,-4333,1155,0.877289977,2285.898426,0,1,6.687523727,-235
-13000,-4333,885,1,3292.497602,0,1,0,35
-13000,-4333,1085,0.937681764,2894.918939,0,1,3.575838399,-165
-13000,-4333,960,1,2953.650331,0,1,0,-40
-13000,-4333,1160,0.877095052,2272.230587,0,1,6.679576197,-240
-13000,-4333,880,1,3324.49791,0,1,0,40
-13000,-4333,1080,0.926345792,2852.8066,0,1,4.24678813,-160
-13000,-4333,965,1,2625.528351,0,1,0,-45
-13000,-4333,1165,0.940674941,2323.249549,0,1,3.03981069,-245
-13000,-4333,875,1,3574.251894,0,1,0,45
-13000,-4333,1075,0.849790653,2581.125112,0,1,8.980272909,-155
-13000,-4333,970,1,3057.82135,0,1,0,-50
-13000,-4333,1170,0.87996536,2367.790432,0,1,6.637624031,-250
-13000,-4333,870,1,3714.550477,0,1,0,50
-13000,-4333,1070,0.908588438,3066.483814,0,1,5.571270704,-150
-13000,-4333,720,1,6550.136415,0,1,0,200
-13000,-4333,920,0.870205751,4960.143525,0,1,10.50462666,0
-13000,-4333,1120,1,2633.906598,0,1,0,-200
-13000,-4333,1320,0.804054053,1702.828308,0,1,10.05625944,-400
-13000,-4333,1320,1,1704.540243,0,1,0,-400
-13000,-4333,1520,0.868436397,1285.533187,0,1,5.431745198,-600
-13000,-4333,520,1,15019.88844,0,1,0,400
-13000,-4333,720,0.765334823,8797.710266,0,1,28.75954438,200
-13000,-4333,320,1,6719.017654,0,1,0,600
-13000,-4333,520,1.180397065,9361.857446,1,1,14.78707778,400
-13000,-4333,1520,1,1210.577528,0,1,0,-600
-13000,-4333,1720,0.91172712,1006.288142,0,1,3.071309607,-800
-13000,-4333,1720,1,1005.062529,0,1,0,-800
-13000,-4333,1920,0.929932869,869.1530904,0,1,2.221318712,-1000
-13000,-4333,120,1,3905.473257,0,1,0,800
-13000,-4333,320,1.115949843,4863.657894,1,1,7.246144671,600
-13000,-4333,100,1,2909.456686,0,1,0,820
-13000,-4333,300,1.233922666,4429.837345,1,1,12.61764353,620
-13000,-4333,1920,1,864.3446894,0,1,0,-1000
-13000,-4333,2120,0.943317375,769.1351082,0,1,1.666454411,-1200
-13000,-4333,2120,1,741.6407717,0,1,0,-1200
-13000,-4333,2320,0.992237618,730.1716605,0,1,0.211393596,-1400
-13000,-4333,100,1,4537.42393,0,1,0,820
-13000,-4333,300,1.009911377,4627.813905,1,1,0.667634358,620
-13000,-4333,2320,1,737.3167733,0,1,0,-1400
-13000,-4333,2520,0.981418462,710.1703898,0,1,0.504555236,-1600
-13000,-4333,100,1,4211.616281,0,1,0,820
-13000,-4333,300,1.083988304,4948.778186,1,1,5.450586156,620
-13000,-4333,100,1,4593.324258,0,1,0,820
-13000,-4333,300,0.951432235,4157.984135,0,1,3.291634977,620
-13000,-4333,2520,1,707.234159,0,1,0,-1600
-13000,-4333,2720,0.988670765,691.3000894,0,1,0.301288257,-1800
-13000,-4333,2720,1,693.4393529,0,1,0,-1800
-13000,-4333,2920,1.019770026,721.1290141,1,1,0.520608767,-2000
-13000,-4333,100,1,3840.55664,0,1,0,820
-13000,-4333,300,1.112715328,4755.129138,1,1,6.985219655,620
-13000,-4333,100,1,4643.308303,0,1,0,820
-13000,-4333,300,1.039269131,5015.145949,1,1,2.675870255,620
-13000,-4333,2920,1,741.8532557,0,1,0,-2000
-13000,-4333,3120,0.975065284,705.3186949,0,1,0.679146447,-2200
-13000,-4333,3120,1,729.8803035,0,1,0,-2200
-13000,-4333,3320,0.987521599,711.778476,0,1,0.337120176,-2400
-13000,-4333,100,1,4118.571923,0,1,0,820
-13000,-4333,300,1.026497287,4339.725563,1,1,1.700492567,620
-13000,-4333,100,1,3977.734479,0,1,0,820
-13000,-4333,300,1.034863006,4259.920698,1,1,2.198784819,620
